51.81.166.201,600
177.125.179.204,418
71.126.222.64,209718
63.149.204.184,154
198.241.152.229,170
39.237.51.185,180
195.198.120.238,602
39.247.10.192,594
177.125.214.153,16
192.120.148.227,600
198.241.179.238,262
64.113.118.122,2
202.1.175.252,600
97.193.61.53,32
198.241.158.183,60
58.222.135.253,54
128.167.178.183,18
41.215.236.152,488
53.149.243.178,6
198.241.159.205,4
188.72.200.132,16
198.241.178.225,60
198.241.159.209,252
48.117.221.235,130
60.50.181.52,2
40.67.6.199,344
200.150.74.112,162
51.173.229.255,600
40.75.89.172,600
192.95.27.190,600
